Normal_transcript	Tumor_transcript	Origin
uc001atb.1	uc001atc.1	Tumor
uc001atc.1	uc001atb.1	Tumor
uc001atc.1	uc001atd.1	Tumor
uc001ate.3	uc010oat.1	Tumor
uc001ate.3	uc010oau.1	Tumor
uc001ate.3	uc010oav.1	Tumor
uc001ate.3	uc010oaw.1	Tumor
uc001atn.3	uc009vni.2	Tumor
uc001atr.2	uc001ats.2	Tumor
uc001atr.2	uc010obc.1	Tumor
uc001ats.2	uc001atr.2	Tumor
uc001ats.2	uc010obc.1	Tumor
uc001att.2	uc001atu.2	Immune
uc001att.2	uc009vnk.2	Immune
uc001atu.2	uc001att.2	Immune
uc001atu.2	uc009vnk.2	Immune
uc001atw.2	uc010obd.1	Tumor
uc001aub.2	uc001auc.2	Tumor
uc001auc.2	uc001aub.2	Tumor
uc001auh.2	uc010obe.1	Tumor
uc001avc.2	uc001avd.2	Tumor
uc001avc.2	uc009voc.2	Tumor
uc001avd.2	uc001avc.2	Tumor
uc001avd.2	uc001ave.2	Tumor
uc001avd.2	uc009voc.2	Tumor
uc001avj.2	uc001avk.2	Tumor
uc001avk.2	uc001avj.2	Tumor
uc001avk.2	uc009voe.2	Tumor
uc001avo.2	uc001avp.2	Tumor
uc001avo.2	uc001avs.3	Tumor
uc001avp.2	uc001avq.2	Tumor
uc001avq.2	uc001avo.2	Tumor
uc001avq.2	uc001avp.2	Tumor
uc001avq.2	uc001avr.2	Tumor
uc001avq.2	uc009vog.1	Tumor
uc001avq.2	uc010obj.1	Tumor
uc001avr.2	uc001avp.2	Tumor
uc001avr.2	uc001avq.2	Tumor
uc001avs.3	uc001avo.2	Tumor
uc001avs.3	uc001avp.2	Tumor
uc001avs.3	uc009vog.1	Tumor
uc001avs.3	uc010obj.1	Tumor
uc001avv.3	uc009voh.2	Tumor
uc001avx.2	uc010obk.1	Tumor
uc001awa.1	uc001awb.2	Tumor
uc001awb.2	uc010obl.1	Tumor
uc001awd.1	uc001awa.1	Tumor
uc001awe.1	uc001awf.2	Tumor
uc001awi.1	uc001awj.1	Tumor
uc001awj.1	uc001awi.1	Tumor
uc001awn.2	uc001awo.2	Tumor
uc001awn.2	uc001awq.2	Tumor
uc001awq.2	uc001awn.2	Tumor
uc001awq.2	uc001awo.2	Tumor
uc001aws.2	uc001awt.2	Stroma
uc001awt.2	uc001aws.2	Tumor
uc001awx.1	uc009voj.1	Tumor
uc001axb.1	uc009vok.1	Tumor
uc001axd.1	uc001axe.1	Tumor
uc001axe.1	uc001axd.1	Tumor
uc001axe.1	uc001axf.2	Tumor
uc001axe.1	uc001axi.1	Tumor
uc001axi.1	uc001axh.1	Tumor
uc001axk.1	uc010obp.1	Tumor
uc001axl.3	uc009von.1	Tumor
uc001axl.3	uc010obq.1	Tumor
uc001axl.3	uc010obr.1	Tumor
uc001axl.3	uc010obs.1	Tumor
uc001axo.2	uc001axq.2	Tumor
uc001axo.2	uc001axs.2	Tumor
uc001axs.2	uc001axo.2	Tumor
uc001axs.2	uc001axp.2	Tumor
uc001axs.2	uc001axq.2	Tumor
uc001axs.2	uc001axr.2	Tumor
uc001axu.2	uc001axv.2	Tumor
uc001axv.2	uc001axu.2	Tumor
uc001axw.3	uc001axy.3	Tumor
uc001axx.3	uc001axy.3	Tumor
uc001axy.3	uc001axw.3	Tumor
uc001axy.3	uc001axx.3	Tumor
uc001axz.3	uc010obz.1	Tumor
uc001ayb.1	uc009voo.1	Tumor
uc001ayc.1	uc001ayb.1	Tumor
uc001ayc.1	uc009voo.1	Tumor
uc001ayg.2	uc001aye.3	Tumor
uc001ayi.3	uc001ayk.3	Tumor
uc001ayk.3	uc001ayi.3	Tumor
uc001aym.3	uc001ayk.3	Tumor
uc001ayo.2	uc001ayq.2	Tumor
uc001ayo.2	uc010ocd.1	Tumor
uc001ayr.3	uc001ayt.2	Tumor
uc001ayt.2	uc001ays.2	Tumor
uc001azc.1	uc001aza.3	Tumor
uc001azc.1	uc001azb.1	Tumor
uc001azc.1	uc009vos.1	Tumor
uc001azk.2	uc010ocg.1	Tumor
uc001azl.3	uc010oci.1	Tumor
uc001azm.3	uc001azk.2	Tumor
uc001azm.3	uc009vox.2	Tumor
uc001azm.3	uc010och.1	Tumor
uc001azm.3	uc010oci.1	Tumor
uc001azp.3	uc010ock.1	Tumor
uc001azt.2	uc001azu.2	Tumor
uc001azt.2	uc001azv.2	Tumor
uc001azt.2	uc009voy.1	Tumor
uc001azw.2	uc001azx.2	Tumor
uc001azw.2	uc001azy.2	Tumor
uc001azw.2	uc010ocl.1	Tumor
uc001azy.2	uc001azw.2	Tumor
uc001azy.2	uc001azx.2	Tumor
uc001azy.2	uc010ocl.1	Tumor
uc001baa.2	uc001azz.1	Tumor
uc001baa.2	uc001bab.2	Tumor
uc001bab.2	uc001azz.1	Tumor
uc001bab.2	uc001baa.2	Tumor
uc001baf.2	uc001bag.1	Tumor
uc001baf.2	uc010ocm.1	Tumor
uc001bah.1	uc010oco.1	Tumor
uc001baj.2	uc009vpc.2	Tumor
uc001bao.2	uc001ban.2	Tumor
uc001bao.2	uc001bap.2	Tumor
uc001bao.2	uc001bar.2	Tumor
uc001bao.2	uc001bas.2	Tumor
uc001bao.2	uc009vpf.2	Tumor
uc001bao.2	uc010ocs.1	Tumor
uc001bap.2	uc001bao.2	Tumor
uc001bau.1	uc001bav.1	Immune&Stroma
uc001bav.1	uc001bau.1	Tumor
uc001bax.2	uc009vpg.2	Tumor
uc001bbc.2	uc010ocu.1	Tumor
uc001bbh.2	uc001bbf.2	Tumor
uc001bbh.2	uc001bbg.2	Tumor
uc001bbo.2	uc001bbn.2	Tumor
uc001bbo.2	uc001bbp.2	Tumor
uc001bbo.2	uc001bbq.2	Tumor
uc001bbo.2	uc001bbr.2	Tumor
uc001bby.2	uc001bbz.2	Tumor
uc001bby.2	uc001bcc.2	Tumor
uc001bcb.2	uc001bca.2	Tumor
uc001bcc.2	uc001bby.2	Tumor
uc001bcc.2	uc001bbz.2	Tumor
uc001bcc.2	uc001bca.2	Tumor
uc001bce.2	uc001bcd.2	Tumor
uc001bci.1	uc001bch.1	Tumor
uc001bck.1	uc009vpl.1	Tumor
uc001bcn.2	uc001bcm.2	Tumor
uc001bcn.2	uc001bcp.1	Tumor
uc001bcp.1	uc001bco.1	Tumor
uc001bcu.2	uc010odb.1	Tumor
uc001bcv.2	uc001bcu.2	Tumor
uc001bcy.2	uc001bcw.2	Tumor
uc001bcy.2	uc001bcx.2	Tumor
uc001bcz.2	uc009vpo.2	Tumor
uc001bdh.2	uc001bdg.2	Tumor
uc001bdk.2	uc009vpv.2	Tumor
uc001bdm.2	uc001bdn.2	Tumor
uc001bdo.1	uc010ode.1	Tumor
uc001bdp.3	uc001bdq.3	Tumor
uc001bdp.3	uc001bds.3	Tumor
uc001bdq.3	uc001bdp.3	Tumor
uc001bds.3	uc009vpx.2	Tumor
uc001bdt.1	uc001bdu.1	Tumor
uc001bdw.1	uc001bdy.1	Tumor
uc001bdw.1	uc010odf.1	Stroma
uc001bdw.1	uc010odg.1	Tumor
uc001bdy.1	uc010odg.1	Tumor
uc001bec.2	uc009vpz.2	Tumor
uc001bef.2	uc009vpz.2	Tumor
uc001bef.2	uc010odk.1	Tumor
uc001bei.2	uc001bek.2	Tumor
uc001bek.2	uc001bei.2	Tumor
uc001bek.2	uc001bem.2	Tumor
uc001bek.2	uc010odl.1	Tumor
uc001bem.2	uc001bei.2	Tumor
uc001bem.2	uc001bek.2	Tumor
uc001bes.2	uc001ber.2	Tumor
uc001bes.2	uc009vqb.2	Tumor
uc001bes.2	uc010odm.1	Tumor
uc001bet.2	uc001beu.3	Tumor
uc001bet.2	uc010odp.1	Tumor
uc001beu.3	uc001bet.2	Tumor
uc001beu.3	uc010odo.1	Tumor
uc001bev.2	uc001bex.2	Tumor
uc001bew.2	uc001bex.2	Tumor
uc001bex.2	uc001bew.2	Tumor
uc001bey.2	uc001bex.2	Tumor
uc001bfb.2	uc001bfa.2	Tumor
uc001bfb.2	uc001bff.2	Tumor
uc001bfb.2	uc009vqc.2	Tumor
uc001bfe.1	uc001bfa.2	Tumor
uc001bff.2	uc001bfa.2	Tumor
uc001bff.2	uc010odq.1	Tumor
uc001bfg.1	uc001bfh.1	Tumor
uc001bfh.1	uc001bfg.1	Tumor
uc001bfi.2	uc001bfj.2	Tumor
uc001bfj.2	uc001bfi.2	Tumor
uc001bfj.2	uc009vqd.2	Tumor
uc001bfn.3	uc001bfm.3	Tumor
uc001bfr.2	uc009vqh.2	Tumor
uc001bfs.3	uc010odt.1	Tumor
uc001bfu.2	uc001bft.2	Tumor
uc001bfu.2	uc009vqi.1	Tumor
uc001bfy.2	uc001bfz.2	Stroma
uc001bgc.3	uc001bga.3	Tumor
uc001bge.2	uc001bgf.2	Tumor
uc001bge.2	uc010odu.1	Tumor
uc001bgf.2	uc001bge.2	Tumor
uc001bgf.2	uc010odu.1	Tumor
uc001bgk.2	uc010odv.1	Tumor
uc001bgr.3	uc001bgo.2	Tumor
uc001bgr.3	uc010odx.1	Tumor
uc001bgs.3	uc001bgo.2	Stroma
uc001bgs.3	uc009vql.2	Tumor
uc001bgt.2	uc001bgu.2	Tumor
uc001bgu.2	uc001bgt.2	Tumor
uc001bgv.2	uc001bgw.2	Stroma
uc001bgw.2	uc001bgv.2	Tumor
uc001bha.2	uc001bgy.1	Tumor
uc001bha.2	uc001bgz.1	Tumor
uc001bhi.3	uc001bhj.3	Tumor
uc001bhj.3	uc001bhi.3	Tumor
uc001bhk.2	uc001bhm.2	Tumor
uc001bhm.2	uc001bhk.2	Tumor
uc001bhq.2	uc010oeb.1	Tumor
uc001bht.2	uc001bhu.2	Tumor
uc001bhx.1	uc001bhv.1	Tumor
uc001bhx.1	uc001bhy.1	Tumor
uc001bhx.1	uc001bhz.1	Tumor
uc001bhx.1	uc009vqo.1	Tumor
uc001bhx.1	uc009vqp.1	Tumor
uc001bib.2	uc009vqr.2	Tumor
uc001bil.3	uc001bim.3	Tumor
uc001bim.3	uc001bil.3	Tumor
uc001bim.3	uc001bio.2	Tumor
uc001biq.1	uc009vrb.1	Tumor
uc001biq.1	uc010oeg.1	Tumor
uc001biq.1	uc010oeh.1	Tumor
uc001bis.2	uc001bit.2	Tumor
uc001bit.2	uc001bis.2	Tumor
uc001bit.2	uc001biv.2	Tumor
uc001biu.2	uc001bit.2	Tumor
uc001bix.2	uc001biy.2	Tumor
uc001bix.2	uc001biz.2	Tumor
uc001biy.2	uc001bix.2	Tumor
uc001biy.2	uc001biz.2	Tumor
uc001biz.2	uc001bix.2	Tumor
uc001biz.2	uc001biy.2	Tumor
uc001bja.2	uc001bjd.2	Tumor
uc001bjc.2	uc001bja.2	Tumor
uc001bjc.2	uc010oej.1	Stroma
uc001bje.1	uc010oej.1	Tumor
uc001bjh.2	uc001bjg.2	Tumor
uc001bjh.2	uc009vrc.2	Tumor
uc001bjj.2	uc009vrd.2	Tumor
uc001bjj.2	uc009vre.2	Tumor
uc001bjj.2	uc009vrf.2	Tumor
uc001bjj.2	uc009vrg.2	Tumor
uc001bjm.2	uc010oel.1	Tumor
uc001bjq.2	uc001bjr.2	Tumor
uc001bjq.2	uc009vrj.2	Tumor
uc001bjr.2	uc009vrj.2	Tumor
uc001bjt.1	uc001bju.1	Tumor
uc001bka.2	uc001bjz.2	Tumor
uc001bke.2	uc009vrr.2	Tumor
uc001bkf.2	uc001bkg.2	Tumor
uc001bkf.2	uc001bkj.2	Tumor
uc001bkg.2	uc001bkf.2	Tumor
uc001bkg.2	uc001bkj.2	Tumor
uc001bki.2	uc001bkf.2	Tumor
uc001bkj.2	uc001bkf.2	Tumor
uc001bkj.2	uc001bkg.2	Tumor
uc001bkk.2	uc009vru.2	Tumor
uc001bkk.2	uc009vrv.2	Tumor
uc001bkl.3	uc009vrw.2	Tumor
uc001bkm.2	uc001bkn.2	Tumor
uc001bkq.3	uc001bkr.3	Immune
uc001bkq.3	uc001bks.3	Tumor
uc001bkq.3	uc009vrz.2	Tumor
uc001bkq.3	uc010oet.1	Tumor
uc001bkr.3	uc001bku.3	Tumor
uc001bkr.3	uc010oet.1	Tumor
uc001bla.2	uc001blc.2	Tumor
uc001blc.2	uc001bla.2	Tumor
uc001blg.1	uc001blh.1	Tumor
uc001blh.1	uc001blg.1	Tumor
uc001blm.3	uc009vsd.2	Tumor
uc001blm.3	uc009vse.2	Tumor
uc001bln.3	uc009vse.2	Tumor
uc001blr.2	uc001bls.1	Tumor
uc001blr.2	uc001blt.1	Tumor
uc001blr.2	uc010ofa.1	Tumor
uc001blt.1	uc001bls.1	Tumor
uc001blt.1	uc010ofa.1	Tumor
uc001bly.2	uc001blv.2	Tumor
uc001blz.1	uc001bly.2	Tumor
uc001blz.1	uc001bma.2	Tumor
uc001bma.2	uc010ofc.1	Tumor
uc001bmd.3	uc001bmf.3	Tumor
uc001bmg.1	uc009vsj.1	Tumor
uc001bmh.1	uc001bmg.1	Tumor
uc001bmh.1	uc009vsj.1	Tumor
uc001bmk.2	uc001bml.2	Tumor
uc001bmk.2	uc010ofd.1	Tumor
uc001bml.2	uc001bmk.2	Tumor
uc001bml.2	uc001bmm.2	Tumor
uc001bml.2	uc001bmn.2	Tumor
uc001bml.2	uc010ofd.1	Tumor
uc001bmr.1	uc001bms.1	Tumor
uc001bmr.1	uc010ofe.1	Stroma
uc001bms.1	uc001bmr.1	Tumor
uc001bms.1	uc010ofe.1	Tumor
uc001bmu.1	uc009vsn.1	Tumor
uc001bmw.1	uc009vsm.1	Tumor
uc001bmx.1	uc009vsn.1	Tumor
uc001bmz.2	uc001bmy.2	Tumor
uc001bmz.2	uc009vso.2	Tumor
uc001bne.2	uc009vsp.1	Tumor
uc001bnm.2	uc001bnl.2	Stroma
uc001bno.2	uc009vst.2	Tumor
uc001bnp.1	uc009vst.2	Tumor
uc001bnr.3	uc001bnu.3	Tumor
uc001bnw.1	uc001bnv.1	Tumor
uc001bnw.1	uc001bnx.2	Tumor
uc001bnw.1	uc009vsu.1	Tumor
uc001bny.1	uc009vsw.1	Tumor
uc001boa.2	uc001bob.2	Tumor
uc001bob.2	uc001boa.2	Tumor
uc001bof.1	uc010ofl.1	Tumor
uc001boi.2	uc001boj.2	Immune
uc001bol.2	uc001bok.2	Immune
uc001bom.2	uc001boi.2	Immune
uc001bom.2	uc001boj.2	Immune
uc001bom.2	uc001bok.2	Immune
uc001bom.2	uc001bol.2	Immune
uc001bop.1	uc001bon.1	Tumor
uc001boq.2	uc001bor.2	Tumor
uc001boq.2	uc001bot.2	Tumor
uc001boq.2	uc009vtb.2	Tumor
uc001boq.2	uc010ofm.1	Tumor
uc001bov.1	uc009vtd.1	Tumor
uc001bpa.2	uc001bpc.3	Tumor
uc001bpc.3	uc001bpa.2	Tumor
uc001bpd.1	uc001bpe.1	Tumor
uc001bpe.1	uc001bpd.1	Tumor
uc001bpg.2	uc001bpf.2	Tumor
uc001bpg.2	uc010ofr.1	Tumor
uc001bpi.1	uc010ofs.1	Tumor
uc001bpk.1	uc010ofs.1	Tumor
uc001bpl.2	uc001bpm.3	Tumor
uc001bpl.2	uc009vte.2	Tumor
uc001bpm.3	uc001bpl.2	Tumor
uc001bpq.2	uc001bpr.2	Tumor
uc001bpt.3	uc009vtg.2	Tumor
uc001bpw.2	uc001bpz.2	Tumor
uc001bpy.2	uc001bpw.2	Tumor
uc001bqa.1	uc001bqb.1	Tumor
uc001bqa.1	uc001bqc.1	Tumor
uc001bqb.1	uc001bqa.1	Tumor
uc001bqb.1	uc001bqc.1	Tumor
uc001bqc.1	uc001bqa.1	Tumor
uc001bqe.1	uc001bqg.1	Tumor
uc001bqf.1	uc001bqg.1	Tumor
uc001bqi.2	uc001bqh.2	Tumor
uc001bqk.2	uc001bql.2	Tumor
uc001bqm.2	uc001bqk.2	Tumor
uc001bqu.2	uc001bqv.2	Tumor
uc001bqv.2	uc001bqu.2	Tumor
uc001bqy.2	uc001bqw.2	Tumor
