GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o	OR	eOR
79828	METTL8	uc010zdp.1	uc002ugv.3	0	10	1	82	1	0	2.61904761904762
79829	NAA40	uc009yoz.2	uc010rmw.1	0	1	2	92	1	0	12.3333333333333
7982	ST7	uc003viq.2	uc003vio.2	3	51	3	83	0.425523243734432	1.62152576149222	1.62135922330097
79831	JMJD5	uc002doh.2	uc010bxx.2	0	4	1	90	1	0	6.7037037037037
79837	PIP4K2C	uc001sot.2	uc010srt.1	0	1	1	92	1	0	20.5555555555556
79837	PIP4K2C	uc001sot.2	uc001sou.2	0	1	1	92	1	0	20.5555555555556
79843	FAM124B	uc002vnx.2	uc002vnw.2	1	6	3	111	0.214531611776242	5.97810540470522	7.35164835164835
79850	FAM57A	uc002frr.2	uc002frq.2	0	1	3	91	1	0	8.71428571428571
79852	EPHX3	uc002nap.2	uc002naq.2	0	1	1	93	1	0	20.7777777777778
79861	TUBAL3	uc001ihz.2	uc001ihy.2	1	3	16	146	0.35360990982826	3.01131980098497	3.80519480519481
79869	CPSF7	uc001nrq.2	uc001nro.2	0	1	1	93	1	0	20.7777777777778
79870	BAALC	uc003ylg.2	uc003yld.2	0	14	2	107	1	0	1.48275862068966
79875	THSD4	uc002ate.2	uc002atb.1	1	66	2	40	0.945316146979527	0.306471844860009	0.365413533834586
79877	DCAKD	uc010daa.1	uc010dab.1	0	1	1	93	1	0	20.7777777777778
79879	CCDC134	uc003bbh.1	uc011apg.1	0	3	2	124	1	0	7.11428571428571
79882	ZC3H14	uc001xww.2	uc001xxa.2	0	8	2	99	1	0	2.34117647058824
79885	HDAC11	uc003bxy.2	uc011aux.1	0	3	1	91	1	0	8.71428571428571
79892	C10orf119	uc001ler.2	uc001leq.1	0	2	1	92	1	0	12.3333333333333
79895	ATP8B4	uc001zxt.2	uc001zxu.2	3	40	1	77	0.127834677784827	5.68882596490314	4.46502057613169
79898	ZNF613	uc002pxz.1	uc002pya.1	0	3	1	91	1	0	8.71428571428571
79901	CYBRD1	uc002ugy.3	uc002ugz.3	0	6	2	105	1	0	3.24615384615385
79902	NUP85	uc002jng.1	uc010wrv.1	0	5	1	89	1	0	5.42424242424242
79905	TMC7	uc002dfq.2	uc010vap.1	1	42	4	155	0.70193260569588	0.922981172820756	1.21960784313726
79912	PYROXD1	uc001rew.2	uc009ziq.2	0	9	1	85	1	0	3
79922	MRM1	uc002hne.2	uc002hnf.2	0	3	2	135	1	0	7.74285714285714
79932	KIAA0319L	uc001byx.2	uc001byw.2	0	21	1	73	1	0	1.13953488372093
7994	MYST3	uc003xon.3	uc010lxb.2	0	32	2	106	1	0	0.655384615384615
79954	NOL10	uc002raq.2	uc010yjf.1	1	30	2	125	0.483104273779917	2.07169357555992	2.46885245901639
79956	ERMP1	uc003zjm.1	uc010mhs.1	1	12	1	81	0.256215005599104	6.52510090039141	6.52
79981	FRMD1	uc003qwo.3	uc003qwn.3	0	6	1	88	1	0	4.53846153846154
80000	GREB1L	uc010xam.1	uc010xan.1	1	38	0	56	0.410526315789474	Inf	4.4025974025974
80008	TMEM156	uc010ifj.2	uc003gto.2	6	13	15	74	0.126172239185208	2.2567673836356	2.3142174432497
80025	PANK2	uc002wkb.2	uc002wke.2	0	5	2	116	1	0	4.23636363636364
80146	UXS1	uc002tdm.2	uc002tdo.2	0	17	1	77	1	0	1.47619047619048
80148	PQLC1	uc002lnl.2	uc010xfm.1	1	48	6	177	0.814652201983352	0.615718332232555	0.84456780333069
80149	ZC3H12A	uc001cbb.3	uc001cbc.1	0	2	1	92	1	0	12.3333333333333
80198	MUS81	uc001ofv.3	uc001ofx.3	0	2	1	92	1	0	12.3333333333333
80213	TM2D3	uc002bxj.2	uc002bxi.2	0	2	4	89	1	0	3.97777777777778
80230	RUFY1	uc003mkb.1	uc003mkc.1	0	11	1	83	1	0	2.42028985507246
80263	TRIM45	uc001egz.2	uc001eha.2	0	1	1	93	1	0	20.7777777777778
80264	ZNF430	uc002npk.2	uc002npj.2	1	13	1	126	0.18936170212766	9.37673588504061	9.37037037037037
8027	STAM	uc001ipj.1	uc009xjw.1	1	20	2	146	0.330085391347483	3.60788577327419	4.28780487804878
80301	PLEKHO2	uc002anv.2	uc010bgz.2	0	13	5	149	1	0	1.00673400673401
80318	GKAP1	uc004amy.2	uc004amz.2	0	11	1	83	1	0	2.42028985507246
80323	CCDC68	uc002lfs.2	uc002lft.2	0	7	1	86	1	0	3.84444444444444
80323	CCDC68	uc002lft.2	uc002lfs.2	0	7	1	86	1	0	3.84444444444444
80344	DCAF11	uc001wmd.2	uc001wmb.3	0	3	1	91	1	0	8.71428571428571
8034	SLC25A16	uc001joi.2	uc010qix.1	0	6	1	75	1	0	3.87179487179487
8034	SLC25A16	uc001joi.2	uc001joj.2	1	10	1	98	0.190825688073395	9.39149109629843	9.38095238095238
8034	SLC25A16	uc001joi.2	uc010qiy.1	1	6	11	75	0.63295807696007	1.13470082462739	1.51505016722408
80700	UBXN6	uc002man.1	uc002mam.1	0	5	3	133	1	0	3.46753246753247
80725	SRCIN1	uc002hqe.2	uc002hqd.2	0	9	1	85	1	0	3
80728	ARHGAP39	uc003zds.1	uc011llk.1	1	18	1	93	0.309260429835651	5.05596862945526	5.05405405405405
8076	MFAP5	uc001qut.1	uc001qus.2	0	2	1	92	1	0	12.3333333333333
8079	MLF2	uc010sfi.1	uc001qqp.2	0	5	1	89	1	0	5.42424242424242
80833	APOL3	uc003aos.2	uc003aot.2	0	6	3	86	1	0	1.9010989010989
80856	KIAA1715	uc002ukc.1	uc010fqw.1	1	30	2	135	0.459918373236316	2.23651600028178	2.6655737704918
81030	ZBP1	uc010gjm.2	uc002xyp.2	0	5	1	89	1	0	5.42424242424242
81034	SLC25A32	uc003yll.2	uc011lhr.1	1	3	1	136	0.05612968591692	39.378377238538	39
81037	CLPTM1L	uc003jch.2	uc003jcg.2	0	6	1	88	1	0	4.53846153846154
8111	GPR68	uc001xzh.2	uc001xzg.2	0	5	3	123	1	0	3.20779220779221
8111	GPR68	uc001xzg.2	uc001xzh.2	0	6	11	118	1	0	0.792642140468227
8128	ST8SIA2	uc002bra.2	uc002brb.2	0	10	1	84	1	0	2.68253968253968
8131	NPRL3	uc010uua.1	uc010uub.1	0	6	1	88	1	0	4.53846153846154
81491	GPR63	uc010kcl.2	uc003pou.2	0	18	4	145	1	0	0.873873873873874
814	CAMK4	uc010jbv.2	uc003kpg.2	2	64	1	72	0.461986488245139	2.23729005449881	1.8733850129199
81550	TDRD3	uc010aeg.2	uc001vib.3	0	13	1	81	1	0	2.01234567901235
81553	FAM49A	uc002rck.1	uc010exm.1	0	18	1	76	1	0	1.37837837837838
81558	FAM117A	uc010wlz.1	uc002ipk.2	1	15	2	103	0.349052017501215	3.38220442752037	4.00645161290323
81562	LMAN2L	uc002swu.2	uc010yuw.1	0	8	2	131	1	0	3.09411764705882
81567	TXNDC5	uc010jnz.2	uc003mxv.2	1	23	1	70	0.443449048152296	3.00059859082165	3
81570	CLPB	uc001osk.2	uc009ytg.2	0	11	1	83	1	0	2.42028985507246
81578	COL21A1	uc011dxh.1	uc003pcr.2	1	39	0	55	0.421052631578948	Inf	4.21518987341772
81614	NIPA2	uc001yux.2	uc001yva.2	0	7	2	86	1	0	2.30666666666667
81615	TMEM163	uc002tty.2	uc002ttx.2	1	35	2	75	0.687574742884477	1.07076535518973	1.27605633802817
81619	TSPAN14	uc001kcj.3	uc001kci.3	0	10	1	84	1	0	2.68253968253968
8178	ELL	uc002njh.2	uc002njg.2	2	19	2	132	0.0888678051865907	6.8008057513113	6.79487179487179
81792	ADAMTS12	uc003jib.1	uc003jia.1	0	42	3	84	1	0	0.284033613445378
817	CAMK2D	uc003ibj.2	uc003ibk.2	0	32	1	62	1	0	0.641025641025641
