Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o
brca	55906	ZC4H2	uc004dvu.2	uc011mow.1	1	31	0	63	0.336842105263158
brca	5126	PCSK2	uc010zrm.1	uc002wpm.2	1	32	0	62	0.347368421052632
brca	170690	ADAMTS16	uc003jdl.2	uc003jdk.1	1	32	0	62	0.347368421052632
brca	868	CBLB	uc003dwc.2	uc003dwd.1	1	32	0	61	0.351063829787234
brca	147372	CCBE1	uc002lib.2	uc010dpq.2	1	32	0	61	0.351063829787234
brca	9649	RALGPS1	uc004bqo.1	uc011mac.1	1	33	0	61	0.357894736842105
brca	22998	LIMCH1	uc011byw.1	uc003gwc.3	1	33	0	61	0.357894736842105
brca	55504	TNFRSF19	uc001uow.2	uc001uot.2	1	12	2	80	0.360184951052993
brca	255403	ZNF718	uc010iaz.2	uc003fzw.3	1	12	2	80	0.360184951052993
brca	79109	MAPKAP1	uc004bpv.2	uc004bqa.2	1	34	0	60	0.368421052631579
brca	100131814	C6orf217	uc010kgo.2	uc010kgm.2	1	34	0	60	0.368421052631579
brca	145407	C14orf37	uc001xdc.2	uc010tro.1	3	38	2	52	0.370594505720599
brca	23299	BICD2	uc004aso.1	uc004asp.1	1	5	6	83	0.376451062396133
brca	221458	KIF6	uc003oou.2	uc003oos.2	1	35	0	59	0.378947368421053
brca	10443	N4BP2L2	uc001uuk.3	uc010abe.1	1	19	1	73	0.382063601006634
brca	351	APP	uc002ylz.2	uc011aci.1	1	35	0	58	0.382978723404255
brca	2070	EYA4	uc003qee.3	uc011ecq.1	1	36	0	58	0.389473684210526
brca	114299	PALM2	uc004beh.3	uc004bef.2	1	36	0	58	0.389473684210526
brca	22924	MAPRE3	uc002rhw.2	uc002rhx.2	1	8	4	82	0.398930099331696
brca	6916	TBXAS1	uc003vvi.2	uc010lne.2	1	37	0	57	0.4
brca	6786	STIM1	uc001lyv.2	uc009yeg.2	1	38	0	56	0.410526315789474
brca	23108	RAP1GAP2	uc010ckd.2	uc010cke.2	1	38	0	56	0.410526315789474
brca	80000	GREB1L	uc010xam.1	uc010xan.1	1	38	0	56	0.410526315789474
brca	54823	C1orf26	uc001grg.3	uc001grh.3	1	21	1	72	0.411422172452408
brca	56474	CTPS2	uc004cxm.2	uc004cxl.2	1	21	1	72	0.411422172452408
brca	64094	SMOC2	uc003qws.1	uc011egu.1	1	39	0	55	0.421052631578948
brca	81578	COL21A1	uc011dxh.1	uc003pcr.2	1	39	0	55	0.421052631578948
brca	257019	FRMD3	uc004ams.1	uc004amq.1	1	39	0	55	0.421052631578948
brca	140	ADORA3	uc001ebh.3	uc001ebg.3	2	17	5	71	0.426253333346057
brca	84310	C7orf50	uc003sjs.2	uc003sju.2	2	30	2	59	0.42681955725434
brca	3123	HLA-DRB1	uc003obp.3	uc011dqc.1	1	41	0	53	0.442105263157895
brca	4126	MANBA	uc003hwg.2	uc011ces.1	1	23	1	70	0.443449048152296
brca	81567	TXNDC5	uc010jnz.2	uc003mxv.2	1	23	1	70	0.443449048152296
brca	151050	C2orf67	uc002vds.2	uc002vdy.1	1	23	1	70	0.443449048152296
brca	345930	ECT2L	uc011edq.1	uc003qif.1	1	16	2	76	0.450377487989019
brca	4915	NTRK2	uc011ltb.1	uc004aob.1	1	42	0	52	0.452631578947368
brca	4645	MYO5B	uc002leb.2	uc002ldz.2	1	44	0	50	0.473684210526316
brca	3371	TNC	uc010mvf.2	uc004bjj.3	3	11	14	67	0.47755230360148
brca	23530	NNT	uc003jof.2	uc003joe.2	1	18	2	74	0.492107069320522
brca	2042	EPHA3	uc010hon.1	uc003dqy.2	1	46	0	48	0.494736842105263
brca	221937	FOXK1	uc003sna.1	uc003snc.1	1	27	1	66	0.50481522956327
brca	204962	SLC44A5	uc001dgt.2	uc010oqz.1	1	47	0	47	0.505263157894737
brca	90627	STARD13	uc001uuw.2	uc010abh.1	1	47	0	46	0.51063829787234
brca	10637	LEFTY1	uc001hpo.2	uc010pvj.1	2	5	20	67	0.520278523077872
brca	2900	GRIK4	uc009zav.1	uc009zax.1	1	49	0	45	0.526315789473684
brca	10196	PRMT3	uc001mqb.2	uc010rdn.1	1	20	2	72	0.531669255499765
brca	5094	PCBP2	uc001sdf.3	uc001sdd.3	1	5	10	79	0.532300192202283
brca	3786	KCNQ3	uc010mdt.2	uc003ytj.2	1	40	0	36	0.532467532467533
brca	254827	NAALADL2	uc003fit.2	uc003fiu.1	2	68	0	25	0.540873460246361
brca	10207	INADL	uc001dab.2	uc009waf.1	1	51	0	43	0.547368421052632
brca	2078	ERG	uc002yxa.2	uc011aek.1	1	30	1	63	0.548488241881299
brca	5087	PBX1	uc001gcs.2	uc001gct.2	1	30	1	63	0.548488241881299
brca	7035	TFPI	uc002upz.2	uc002upx.2	1	21	2	71	0.550655637033559
brca	84310	C7orf50	uc003sjs.2	uc011jvu.1	1	30	1	59	0.567765567765568
brca	2823	GPM6A	uc003iuh.2	uc003iug.2	1	53	0	41	0.568421052631579
brca	94239	H2AFV	uc003tlz.2	uc003tma.2	1	2	22	70	0.569121843730809
brca	11069	RAPGEF4	uc002uhw.3	uc002uhv.3	1	32	1	61	0.576483762597984
brca	116328	C8orf34	uc010lyz.2	uc010lyy.1	1	54	0	40	0.578947368421053
brca	56288	PARD3	uc010qeo.1	uc010qel.1	1	56	0	38	0.6
brca	56479	KCNQ5	uc011dyj.1	uc011dyk.1	1	56	0	38	0.6
brca	8412	BCAR3	uc001dpy.2	uc001dqa.2	1	24	2	67	0.609128345916266
brca	9079	LDB2	uc003gpa.2	uc011bxh.1	1	57	0	37	0.610526315789474
brca	8034	SLC25A16	uc001joi.2	uc010qiy.1	1	6	11	75	0.63295807696007
brca	285362	SUMF1	uc003bpz.1	uc011ast.1	1	61	0	33	0.652631578947368
brca	5906	RAP1A	uc001ebi.2	uc001ebl.2	1	27	2	65	0.653903117436694
brca	2139	EYA2	uc002xsp.2	uc002xsq.2	1	38	1	55	0.655095184770437
brca	23026	MYO16	uc001vqt.1	uc001vqu.1	1	62	0	32	0.663157894736842
brca	51059	FAM135B	uc003yuy.2	uc003yuz.2	1	62	0	32	0.663157894736842
brca	51761	ATP8A2	uc010tdj.1	uc010tdi.1	1	59	0	30	0.666666666666667
brca	3786	KCNQ3	uc003ytj.2	uc010mdt.2	9	40	9	36	0.678653653798996
brca	83988	NCALD	uc003ykk.2	uc003yki.2	1	40	1	53	0.679507278835386
brca	814	CAMK4	uc010jbv.2	uc003kpg.2	1	41	1	52	0.691377379619261
brca	151651	EFHB	uc003cbm.2	uc003cbl.3	1	12	7	75	0.70677748275847
brca	51720	UIMC1	uc003mfd.1	uc003mfh.1	1	14	6	74	0.712516556417218
brca	2561	GABRB2	uc011deh.1	uc003lyt.1	1	42	1	49	0.713651238896681
brca	57188	ADAMTSL3	uc002bjz.3	uc010bmt.1	1	43	1	50	0.71444568868981
brca	219771	CCNY	uc001iyw.3	uc001iyv.3	1	43	1	50	0.71444568868981
brca	5890	RAD51L1	uc001xkf.1	uc001xkd.2	1	67	0	26	0.723404255319149
brca	339500	ZNF678	uc001hqw.1	uc009xet.1	1	25	3	66	0.728447061373406
brca	51741	WWOX	uc002ffk.2	uc002ffl.2	1	70	0	24	0.747368421052632
brca	5251	PHEX	uc004dah.2	uc011mjs.1	1	22	4	68	0.758518835497487
brca	4036	LRP2	uc002ues.2	uc010zdf.1	1	35	2	57	0.765133836650652
brca	51761	ATP8A2	uc010tdi.1	uc010tdj.1	3	59	2	30	0.78484173858827
brca	57118	CAMK1D	uc001ilo.2	uc001iln.2	1	51	1	42	0.797760358342665
brca	1730	DIAPH2	uc004efu.3	uc004eft.3	1	75	0	19	0.8
brca	168507	PKD1L1	uc003tny.1	uc003tob.2	1	32	3	59	0.824772384244608
brca	1010	CDH12	uc011cno.1	uc010iuc.2	1	78	0	16	0.831578947368421
brca	1770	DNAH9	uc002gnd.1	uc002gnf.2	1	55	1	38	0.834042553191489
brca	5142	PDE4B	uc001dcq.2	uc001dcp.2	1	55	1	38	0.834042553191489
brca	53353	LRP1B	uc002tvj.1	uc010fnl.1	2	85	0	8	0.837849944008959
brca	137868	SGCZ	uc003wwq.2	uc010lss.2	1	80	0	14	0.852631578947368
brca	253559	CADM2	uc003dqk.2	uc003dqj.2	1	81	0	13	0.863157894736842
brca	5799	PTPRN2	uc003wnn.2	uc003wnr.2	3	88	0	4	0.877686666907488
brca	100132923	FAM66D	uc011kxo.1	uc011kxp.1	1	47	2	45	0.882852292020374
brca	6229	RPS24	uc001jzp.2	uc001jzq.2	1	6	26	62	0.912268192438501
brca	12	SERPINA3	uc001ydp.2	uc001yds.2	0	3	1	91	1
brca	16	AARS	uc002eyn.1	uc010vlu.1	0	6	1	88	1
brca	23	ABCF1	uc003nql.2	uc010jsb.2	0	5	1	89	1
brca	24	ABCA4	uc001dqh.2	uc001dqi.1	0	19	1	75	1
brca	34	ACADM	uc001dgw.3	uc009wbp.2	0	4	2	89	1
