Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	Recurrence	Affects_mutated_feature	PPI	Pannegative
brca	3927	LASP1	uc002hra.2	uc010wdz.1	1	0	1	0
brca	134359	POC5	uc003keh.3	uc003keg.3	1	0	0	0
brca	6240	RRM1	uc001lyw.3	uc010qyd.1	1	0	0	0
brca	80742	PRR3	uc003nqj.1	uc003nqi.1	0	0	0	0
brca	79898	ZNF613	uc002pxz.1	uc002pya.1	1	0	0	0
brca	80219	COQ10B	uc002uuh.1	uc010fsl.1	1	0	0	0
brca	3383	ICAM1	uc002mnq.2	uc010xle.1	1	0	1	0
brca	51430	C1orf9	uc009wwd.2	uc010pmn.1	1	0	0	0
brca	6712	SPTBN2	uc001ojd.2	uc001ojc.1	0	0	1	0
brca	7464	CORO2A	uc004aym.2	uc004ayk.2	1	0	0	1
brca	55322	C5orf22	uc003jhj.3	uc010iuj.2	1	0	0	0
brca	29801	ZDHHC8	uc002zrq.2	uc010gsa.2	1	0	0	0
brca	4354	MPP1	uc004fmp.1	uc011mzw.1	0	0	0	0
brca	7030	TFE3	uc004dmb.3	uc004dmc.3	0	0	0	0
brca	55768	NGLY1	uc003cdl.2	uc003cdk.2	0	0	0	0
brca	60561	RINT1	uc003vda.1	uc010ljj.1	1	0	0	0
brca	375775	PNPLA7	uc010ncj.1	uc011mfa.1	0	0	0	0
brca	7942	TFEB	uc003oqu.1	uc003oqr.1	0	0	0	0
brca	93624	TADA2B	uc010idi.2	uc003gjw.3	0	0	0	7
brca	55633	TBC1D22B	uc003onn.2	uc003onp.2	1	0	0	0
brca	25970	SH2B1	uc002drk.2	uc010vdd.1	1	0	0	0
brca	8394	PIP5K1A	uc001exi.2	uc010pcv.1	1	0	0	0
brca	309	ANXA6	uc003ltl.1	uc003ltm.1	1	0	0	4
brca	2017	CTTN	uc001opv.3	uc001opx.2	0	0	0	0
brca	55353	LAPTM4B	uc003yia.2	uc010mbg.2	1	0	0	0
brca	4899	NRF1	uc003voz.2	uc011kpa.1	0	0	0	0
brca	647121	LOC647121	uc009wht.1	uc001eiu.1	1	0	0	0
brca	10908	PNPLA6	uc002mgs.2	uc002mgt.1	0	0	0	0
brca	57147	SCYL3	uc001ggt.2	uc010plw.1	0	0	0	0
brca	25839	COG4	uc002ezc.2	uc002eza.2	1	0	0	0
brca	92906	HNRPLL	uc002rqx.2	uc002rqw.2	0	0	0	0
brca	255403	ZNF718	uc010iaz.2	uc003fzw.3	0	0	0	0
brca	84215	ZNF541	uc010eli.2	uc010xyt.1	0	1	0	0
brca	8905	AP1S2	uc004cxi.2	uc004cxh.2	0	0	0	0
brca	147912	SIX5	uc002pdb.2	uc002pdc.2	1	0	0	0
brca	8178	ELL	uc002njh.2	uc002njg.2	1	0	0	0
brca	4924	NUCB1	uc002plb.3	uc002pld.2	0	1	0	0
brca	80700	UBXN6	uc002man.1	uc002mam.1	0	0	0	0
brca	89845	ABCC10	uc003ouy.1	uc010jyo.1	1	0	0	0
brca	65078	RTN4R	uc002zrv.2	uc002zru.2	1	0	0	1
brca	90806	ANGEL2	uc001hjz.2	uc010ptq.1	0	0	0	0
brca	1730	DIAPH2	uc004efu.3	uc004eft.3	1	0	0	1
brca	2643	GCH1	uc001xbi.1	uc010aol.1	1	0	0	0
brca	8507	ENC1	uc003kdc.3	uc011css.1	1	0	0	0
brca	10049	DNAJB6	uc003wnk.2	uc011kvz.1	1	0	0	0
brca	57664	PLEKHA4	uc002pkx.2	uc002pkw.1	1	0	0	0
brca	8216	LZTR1	uc002zto.2	uc002ztp.2	0	0	0	0
brca	54496	PRMT7	uc002evy.1	uc010vlg.1	0	0	0	0
brca	6608	SMO	uc003vor.2	uc003vos.2	1	0	0	0
brca	3720	JARID2	uc003nbj.2	uc011div.1	0	0	0	0
brca	54892	NCAPG2	uc003wnv.1	uc011kwc.1	1	0	0	0
brca	56965	PARP6	uc002auc.2	uc002aub.2	0	0	0	0
